ObjectID,Stream,Date,Tag,Species,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Woody Debris,Aquatic Vegetation,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Weight,Length,Capture Method,Capture Date,Release,Notes.y
114,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.76,Pool,NA,44,0.22,Boulder,0.4,0,0,0,0,0.4,No,-111.669063,34.673345,NA,NA,-111.669072,34.6733955,NA,NA,NA,NA,NA,NA,NA
75,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.7,Riffle,NA,32,1.34,Boulder,0.3,0,0.3,0,0,0.6,Yes,-111.67128,34.674072,NA,NA,-111.6713814,34.6740625,NA,NA,NA,NA,NA,NA,NA
76,Wet Beaver,3/14/2022 0:00,NA,NA,Available,8.1,Riffle,NA,27,0.21,Cobble,0.5,0,0.05,0,0,0.55,Yes,-111.671292,34.673978,NA,NA,-111.6713355,34.6740675,NA,NA,NA,NA,NA,NA,NA
77,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.1,Riffle,NA,44,0.31,Cobble,0.1,0,0,0,0,0.1,Yes,-111.671258,34.674018,NA,NA,-111.6713028,34.6740069,NA,NA,NA,NA,NA,NA,NA
118,Wet Beaver,3/14/2022 0:00,NA,NA,Available,8.1,Riffle,NA,50,54,Cobble,0.15,0,0.05,0,0,0.2,No,-111.668898,34.67323,NA,NA,-111.668917,34.6732603,NA,NA,NA,NA,NA,NA,NA
79,Wet Beaver,3/14/2022 0:00,NA,NA,Available,14.4,Riffle,NA,30,0.07,Bedrock,0.25,0,0,0,0,0.25,Yes,-111.67111,34.674028,NA,NA,-111.6711553,34.6740371,NA,NA,NA,NA,NA,NA,NA
80,Wet Beaver,3/14/2022 0:00,NA,NA,Available,17.4,Riffle,NA,36,1.38,Boulder,0.4,0,0.2,0,0,0.6,Yes,-111.671063,34.673937,NA,NA,-111.671027,34.6740188,NA,NA,NA,NA,NA,NA,NA
81,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.01,Riffle,NA,34,0.38,Pebble,0.2,0,0,0,0,0.2,Yes,-111.670953,34.67404,NA,NA,-111.6709576,34.674016,NA,NA,NA,NA,NA,NA,NA
122,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12.39,Riffle,NA,36,0.27,Boulder,0.3,0,0,0,0,0.3,No,-111.66866,34.673038,NA,NA,-111.6686967,34.6730512,NA,NA,NA,NA,NA,NA,NA
83,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.63,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,Yes,-111.670837,34.673968,NA,NA,-111.6707692,34.6740724,NA,NA,NA,NA,NA,NA,NA
85,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.5,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,Yes,-111.670673,34.674037,NA,NA,-111.6707025,34.6740754,NA,NA,NA,NA,NA,NA,NA
86,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.5,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,Yes,-111.670573,34.674073,NA,NA,-111.6706207,34.6740899,NA,NA,NA,NA,NA,NA,NA
87,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.5,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,Yes,-111.670563,34.674068,NA,NA,-111.6705282,34.6740553,NA,NA,NA,NA,NA,NA,NA
88,Wet Beaver,3/14/2022 0:00,NA,NA,Available,16.56,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,No,-111.670542,34.674057,NA,NA,-111.670474,34.6740208,NA,NA,NA,NA,NA,NA,NA
129,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.87,Pool,NA,43,0,Pebble,0,0.1,0,0,0,0.1,Yes,-111.668278,34.672873,NA,NA,-111.6682818,34.6728979,NA,NA,NA,NA,NA,NA,NA
90,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.7,Pool,NA,>150,NA,Pebble,0,0,0,0,0,0,Yes,-111.670377,34.674005,NA,NA,-111.6702483,34.6740389,NA,NA,NA,NA,NA,NA,NA
132,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.24,Riffle,NA,29,1.18,Boulder,0.7,0,0.2,0,0,0.9,Yes,-111.668092,34.672723,NA,NA,-111.6682071,34.6728025,NA,NA,NA,NA,NA,NA,NA
93,Wet Beaver,3/14/2022 0:00,NA,NA,Available,8.22,Riffle,NA,64,0.57,Boulder,0,0,0.5,0,0,0.5,No,-111.670048,34.67392,NA,NA,-111.6701062,34.6739575,Confirmed change to boulder with photo (known location),NA,NA,NA,NA,NA,NA
134,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.78,Riffle,NA,49,2.32,Boulder,0.4,0,0.2,0,0,0.6,Yes,-111.667998,34.672632,NA,NA,-111.6681033,34.6726999,NA,NA,NA,NA,NA,NA,NA
135,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.91,Riffle,NA,36,0.79,Cobble,0.3,0,0.4,0,0,0.7,No,-111.668008,34.672577,NA,NA,-111.6680508,34.6727037,NA,NA,NA,NA,NA,NA,NA
136,Wet Beaver,3/14/2022 0:00,NA,NA,Available,16,Riffle,NA,24,0.16,Cobble,0.3,0,0.2,0,0,0.5,No,-111.668027,34.672478,NA,NA,-111.6680416,34.6727093,NA,NA,NA,NA,NA,NA,NA
98,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.5,Riffle,NA,32,0.99,Boulder,0.25,0,0.05,0,0.05,0.35,Yes,-111.669798,34.673803,NA,NA,-111.6697605,34.6738576,NA,NA,NA,NA,NA,NA,NA
99,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13,Riffle,NA,33,0.8,Cobble,0.25,0,0.05,0,0,0.3,Yes,-111.669752,34.673737,NA,NA,-111.669737,34.6738188,NA,NA,NA,NA,NA,NA,NA
100,Wet Beaver,3/14/2022 0:00,NA,NA,Available,17,Riffle,NA,40,0.3,Pebble,0.1,0,0.1,0,0,0.2,Yes,-111.669692,34.673768,NA,NA,-111.6696816,34.6737868,NA,NA,NA,NA,NA,NA,NA
142,Wet Beaver,3/14/2022 0:00,NA,NA,Available,14.84,Pool,NA,98,0,Sand,0,0,0,0,0,0,Yes,-111.667825,34.672378,NA,NA,-111.6677244,34.6725309,NA,NA,NA,NA,NA,NA,NA
143,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12.39,Pool,NA,>150,NA,Gravel,0,0,0,0,0,0,Yes,-111.667667,34.672445,NA,NA,-111.6676716,34.6724419,NA,NA,NA,NA,NA,NA,NA
104,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.5,Riffle,NA,21,0.42,Cobble,0.2,0,0,0,0,0.2,Yes,-111.669573,34.673613,NA,NA,-111.6694824,34.6736321,NA,NA,NA,NA,NA,NA,NA
105,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.5,Pool,NA,45,0.11,Boulder,0.1,0,0,0,0,0.1,No,-111.669492,34.673578,NA,NA,-111.6694985,34.67362,NA,NA,NA,NA,NA,NA,NA
147,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.08,Run,NA,36,0.49,Bedrock,0,0,0,0,0,0,No,-111.667558,34.672443,NA,NA,-111.667487,34.672397,NA,NA,NA,NA,NA,NA,NA
148,Wet Beaver,3/14/2022 0:00,NA,NA,Available,5.61,Run,NA,30,0,Cobble,0,0,0,0,0,0,Yes,-111.667558,34.672215,NA,NA,-111.6674549,34.6724067,NA,NA,NA,NA,NA,NA,NA
109,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.75,Pool,NA,50,0,Bedrock,0,0,0,0,0,0,No,-111.669247,34.67342,NA,NA,-111.6692684,34.6734262,NA,NA,NA,NA,NA,NA,NA
150,Wet Beaver,3/14/2022 0:00,NA,NA,Available,17,Riffle,NA,NA,NA,Cobble,0.4,0,0.9,0,0,1.3,Yes,-111.667327,34.672458,Not safe to measure,NA,-111.6673454,34.6724741,NA,NA,NA,NA,NA,NA,NA
111,Wet Beaver,3/14/2022 0:00,NA,NA,Available,10.72,Pool,NA,54,0.47,Cobble,0.2,0,0,0,0,0.2,No,-111.669202,34.673372,NA,NA,-111.6692481,34.6733999,NA,NA,NA,NA,NA,NA,NA
152,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12.3,Pool,NA,45,0.24,Cobble,0,0,0,0,0,0,Yes,-111.667212,34.672463,NA,NA,-111.667185,34.6724997,NA,NA,NA,NA,NA,NA,NA
153,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.6,Pool,NA,71,0.1,Cobble,0.1,0,0,0,0,0.1,Yes,-111.667202,34.672528,NA,NA,-111.6671274,34.6724878,NA,NA,NA,NA,NA,NA,NA
154,Wet Beaver,3/14/2022 0:00,NA,NA,Available,10.6,Pool,NA,41,0.01,Cobble,0.15,0,0,0,0,0.15,Yes,-111.667153,34.672513,NA,NA,-111.6670787,34.6725611,NA,NA,NA,NA,NA,NA,NA
115,Wet Beaver,3/14/2022 0:00,NA,NA,Available,8.06,Pool,NA,80,0.01,Pebble,0,0,0,0,0,0,No,-111.668993,34.673283,NA,NA,-111.6690309,34.6733773,NA,NA,NA,NA,NA,NA,NA
117,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.75,Pool,NA,65,0.03,Cobble,0.1,0,0,0,0,0.1,No,-111.668957,34.673262,NA,NA,-111.6689514,34.6733309,NA,NA,NA,NA,NA,NA,NA
158,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.34,Riffle,NA,24,0.65,Boulder,0.4,0,0.4,0,0,0.8,No,-111.666898,34.672635,NA,NA,-111.6668828,34.6726619,NA,NA,NA,NA,NA,NA,NA
119,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.94,Riffle,NA,44,0.68,Cobble,0.2,0,0.2,0,0,0.4,Yes,-111.668837,34.6732,NA,NA,-111.6688401,34.6732384,NA,NA,NA,NA,NA,NA,NA
120,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.79,Riffle,NA,28,0.29,Cobble,0.15,0,0.25,0,0,0.4,No,-111.668803,34.673183,NA,NA,-111.6688087,34.6731906,NA,NA,NA,NA,NA,NA,NA
