"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"33","BB","WC","Spawn","RU",6,4,62,0.182,0.15,0.22,0.114,0.241,0.137,0.04,0.179,0.001,0.332,58.152,52.224,64.089,47.466,68.824,36.477,28.72,47.323,9.406,58.954,3.873,3.31,4.559,2.663,4.912,4.501,3.043,5.638,2.279,6,0.206,0.103,0.3,0.035,0.39,0.216,0.01,0.315,0,0.739,1,1,1,1,1,0.786,0.901,1,0,1
"34","BB","WC","NonSpawn","RI",34,13,430,0.207,0.098,0.297,0.027,0.419,0.254,0.062,0.337,0,0.837,47.952,37.834,57.94,31.351,65.528,35.901,26.246,44.063,15.131,59.518,4.899,4.506,5.571,3.444,5.944,4.688,4,5.573,2.997,6,0.232,0.051,0.359,0.008,0.589,0.229,0.072,0.365,0,0.631,0.596,0.159,0.995,0.01,1,0.74,0.245,1,0,1
"35","BB","WC","NonSpawn","PO",23,9,240,0.049,0.014,0.07,0.003,0.111,0.037,0,0.038,0,0.177,93.094,64.076,118.847,57.286,142.015,93.382,57.577,150.973,33.054,151,2.833,1.57,3.699,1.11,5.01,3.697,1.001,5.832,1,7,0.036,0,0.032,0,0.139,0.101,0,0.193,0,0.402,0.414,0.038,0.766,0.003,0.95,0.465,0,1,0,1
"36","BB","WC","NonSpawn","RU",12,10,69,0.106,0.026,0.159,0.003,0.237,0.166,0.055,0.222,0,0.502,77.617,53.564,94.817,43.572,135.811,61.686,47.112,74.489,35.635,89.351,4.94,4.634,5.56,3.633,5.894,4.296,3.009,5.165,1.359,6,0.11,0.007,0.199,0,0.281,0.184,0.001,0.318,0,0.497,0.629,0.29,0.995,0.064,1,0.746,0.512,1,0,1
"37","DS","WB","Spawn","RI",10,10,132,0.206,0.132,0.194,0.106,0.447,0.223,0.056,0.331,0,0.617,34.196,23.58,44.199,18.379,52.941,23.03,14.868,29.551,3.389,48.305,5.4,5,5.815,5,5.99,5.246,5,6,4,6.115,0.3,0.053,0.505,0.006,0.74,0.251,0.067,0.402,0,0.605,0.7,0.444,1,0.062,1,0.623,0,1,0,1
"38","DS","WB","Spawn","PO",9,9,147,0.026,0.001,0.032,0,0.081,0.025,0,0.039,0,0.09,71.797,51.496,79.234,43.649,118.136,72.174,35.031,101.861,12.026,151,4.505,4.063,5.308,2.984,5.802,4.764,4.005,6,1.933,6.998,0.318,0.137,0.447,0.044,0.659,0.121,0,0.197,0,0.526,0.668,0.365,1,0.067,1,0.684,0.005,1,0,1
"39","DS","WB","Spawn","RU",7,7,29,0.133,0.079,0.177,0.036,0.242,0.186,0.053,0.168,0.004,0.687,50.363,38.383,43.326,33.186,85.87,33.576,20.327,46.754,8.803,64.29,5.428,5,5.858,4.426,6.54,5.73,5.018,6.792,4.015,7,0.242,0.027,0.419,0.005,0.537,0.148,0,0.22,0,0.53,0.857,1,1,0.43,1,0.5,0,1,0,1
"40","DS","WB","NonSpawn","RI",28,16,289,0.404,0.06,0.468,0.003,1.418,0.244,0.038,0.342,0,0.797,30.556,23.219,37.327,18.237,47.105,27.667,19.518,34.438,11.814,48.653,5.129,4.859,5.721,4.014,5.993,4.969,4.001,5.739,3.913,6.587,0.338,0.201,0.445,0.06,0.696,0.211,0.023,0.309,0,0.704,0.827,0.891,1,0.157,1,0.664,0,1,0,1
"41","DS","WB","NonSpawn","PO",21,14,287,0.026,0,0.025,0,0.114,0.031,0,0.045,0,0.129,106.737,70.759,150.277,29.592,151,76.898,39.073,119.712,22.719,151,3.844,2.337,5.097,1.206,6.278,3.974,2.122,5,1,7,0.191,0.002,0.297,0,0.641,0.043,0,0.046,0,0.244,0.669,0.301,1,0.016,1,0.618,0,1,0,1
"42","DS","WB","NonSpawn","RU",11,10,138,0.098,0.055,0.138,0.017,0.181,0.152,0.032,0.203,0,0.511,58.135,50.952,68.646,36.26,73.41,45.769,31.196,56.243,15.914,82.652,5,4.21,5.791,3.271,6.73,4.889,4.03,5.737,2.721,7,0.15,0.014,0.233,0.001,0.406,0.101,0,0.149,0,0.424,0.4,0,0.814,0,0.99,0.472,0,1,0,1
