"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"11","BB","WC","Inactive","PO",9,7,81,-0.206,-0.206,-0.206,-0.206,-0.206,1,0.294,0.294,0.294,0.294,0.294,1,-0.259,-0.259,-0.259,-0.259,-0.259,1,-0.101,-0.101,-0.101,-0.101,-0.101,1,0.256,0.256,0.256,0.256,0.256,1,-1.213,-1.213,-1.213,-1.213,-1.213,1,0.24,0.24,0.24,0.24,0.24,1,0,0.06,0.17,0,0,0.124,-0.0923,0,0,0.14,63,151,0.2494,0,60.6,151,0.17,0,50,151,1,3,1.446,0,1,6.2,-1.1898,0,1,7,0,0,0.8832,0,0,0.08,0.8832,0,0,0.2,0.2551,0.614,0,0,1
"12","BB","WC","Inactive","RU",4,4,32,-297.059,-297.059,-297.059,-297.059,-297.059,1,43.007,43.007,43.007,43.007,43.007,1,0,0,0,0,0,1,-6.227,-6.227,-6.227,-6.227,-6.227,1,27.334,27.334,27.334,27.334,27.334,1,-46.608,-46.608,-46.608,-46.608,-46.608,1,0,0,0,0,0,1,0,0,4.3188,1,0,0,4.3188,1,0,0.3,151,151,5.099,1,151,151,5.099,1,36,151,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,1.7703,1,0,0,1.7703,1,0,0,NA,NA,NA,0,0
"13","DS","WB","Active","RI",18,13,197,0.226,0.226,0.226,0.226,0.226,1,0.505,0.505,0.505,0.505,0.505,1,0.346,0.346,0.346,0.346,0.346,1,0.324,0.324,0.324,0.324,0.324,1,0.541,0.541,0.541,0.541,0.541,1,0.458,0.458,0.458,0.458,0.458,1,-0.113,-0.113,-0.113,-0.113,-0.113,1,0.14,0.22,3.4409,1,0.118,0.604,1.8372,1,0.08,0.72,23,40,1.1302,0,14.6,55.2,0.3695,0,11,64,5,6,2.2169,1,5,6,2.2169,1,5,6,0.1,0.3,2.0447,1,0.1,0.78,1.5269,0,0,0.9,0.1145,0.735,0,0,1
"14","DS","WB","Active","PO",18,11,229,-0.484,-0.484,-0.484,-0.484,-0.484,1,0.025,0.025,0.025,0.025,0.025,1,-0.302,-0.302,-0.302,-0.302,-0.302,1,-0.552,-0.552,-0.552,-0.552,-0.552,1,-0.137,-0.137,-0.137,-0.137,-0.137,1,0.68,0.68,0.68,0.68,0.68,1,0.021,0.021,0.021,0.021,0.021,1,0,0.032,0.3227,0,0,0.046,0.6396,0,0,0.14,57.25,81.5,1.7998,1,17.65,130.35,-0.2579,0,4,151,3,4.5,1.9009,1,2,5.7,1.2743,0,1,6,0.038,0.425,0.7516,0,0,0.695,-3.1338,0,0,0.8,0.0033,0.954,0,0,1
"15","DS","WB","Active","RU",8,8,39,-0.355,-0.355,-0.355,-0.355,-0.355,1,0.722,0.722,0.722,0.722,0.722,1,0.055,0.055,0.055,0.055,0.055,1,-0.179,-0.179,-0.179,-0.179,-0.179,1,0.674,0.674,0.674,0.674,0.674,1,0.616,0.616,0.616,0.616,0.616,1,1.138,1.138,1.138,1.138,1.138,1,0.065,0.148,-0.3662,0,0.022,0.195,0.054,0,0.01,0.28,37,43.5,1.8527,1,31.5,99.5,0.2122,0,30,118,5,5.75,0.716,0,4.25,6.75,0.8204,0,4,7,0.05,0.475,-0.2122,0,0,0.575,-0.7782,0,0,0.6,4.8443,0.028,1,0,1
"16","DS","WB","Inactive","RI",20,15,186,0.13,0.13,0.13,0.13,0.13,1,0.056,0.056,0.056,0.056,0.056,1,-0.195,-0.195,-0.195,-0.195,-0.195,1,0.124,0.124,0.124,0.124,0.124,1,0.039,0.039,0.039,0.039,0.039,1,0.563,0.563,0.563,0.563,0.563,1,0.082,0.082,0.082,0.082,0.082,1,0.02,0.38,-0.7864,0,0,1.135,-0.8804,0,0,1.76,24.5,31,1.4948,0,20.5,44,1.0494,0,18,49,4.5,5.5,-0.244,0,3.5,6,0.1834,0,3,6,0.3,0.5,3.5578,1,0.025,0.725,0.5665,0,0,0.9,0.0611,0.805,0,0,1
"17","DS","WB","Inactive","PO",12,11,175,-0.708,-0.708,-0.708,-0.708,-0.708,1,0.988,0.988,0.988,0.988,0.988,1,0.129,0.129,0.129,0.129,0.129,1,0.178,0.178,0.178,0.178,0.178,1,1.06,1.06,1.06,1.06,1.06,1,0.886,0.886,0.886,0.886,0.886,1,0.156,0.156,0.156,0.156,0.156,1,0,0,2.0817,1,0,0.065,0.0992,0,0,0.3,129.5,151,2.7151,1,50.05,151,1.3501,0,35,151,1,6,-0.9456,0,1,6.8,-0.9456,0,1,7,0,0.175,-2.0077,0,0,0.732,-4.0612,0,0,0.75,0.1591,0.69,0,0,1
"18","DS","WB","Inactive","RU",10,9,110,-0.459,-0.459,-0.459,-0.459,-0.459,1,0.447,0.447,0.447,0.447,0.447,1,-0.452,-0.452,-0.452,-0.452,-0.452,1,-0.39,-0.39,-0.39,-0.39,-0.39,1,0.495,0.495,0.495,0.495,0.495,1,0.809,0.809,0.809,0.809,0.809,1,0.397,0.397,0.397,0.397,0.397,1,0.062,0.148,0.9008,0,0.01,0.165,0.6177,0,0,0.25,48.5,61.5,0.8102,0,31,67.25,0.1598,0,26,76,3.25,5,-0.0825,0,3,5,1.3762,0,3,7,0.125,0.35,1.0991,0,0.025,0.475,1.3294,0,0,0.5,0.8168,0.366,0,0,1
"19","DS","WC","Active","RI",24,13,581,-0.106,-0.106,-0.106,-0.106,-0.106,1,0.908,0.908,0.908,0.908,0.908,1,0.109,0.109,0.109,0.109,0.109,1,-0.093,-0.093,-0.093,-0.093,-0.093,1,0.9,0.9,0.9,0.9,0.9,1,0.144,0.144,0.144,0.144,0.144,1,-0.136,-0.136,-0.136,-0.136,-0.136,1,0.12,0.28,1.5401,0,0.056,0.356,1.5467,0,0,0.45,38,51,2.379,1,30.8,55.2,1.6086,0,17,63,5,6,0.6477,0,3,6,0.6753,0,3,6,0.2,0.4,1.2006,0,0.07,0.5,1.3563,0,0,1,0.188,0.665,0,0,1
"20","DS","WC","Active","PO",22,11,406,0.471,0.471,0.471,0.471,0.471,1,0.229,0.229,0.229,0.229,0.229,1,0.547,0.547,0.547,0.547,0.547,1,0.619,0.619,0.619,0.619,0.619,1,0.648,0.648,0.648,0.648,0.648,1,0.567,0.567,0.567,0.567,0.567,1,1.054,1.054,1.054,1.054,1.054,1,0.05,0.118,3.365,1,0.007,0.205,1.7055,1,0,0.33,84.5,106,3.2256,1,69.6,141.55,2.4567,1,42,151,6,6,4.454,1,2.5,6,1.7028,1,1,7,0.15,0.5,2.4499,1,0,0.565,-0.5623,0,0,0.8,5.375,0.02,1,0,1
