ObjectID,Creation Date,Site Type ,Tag,Fish Species,Other - Fish Species,Size,Coded Size,Number of Individuals,Mesohabitat,Other - Mesohabitat,Stream Width (m),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Depth (cm),Velocity (m/s),Longitude (N),Latitude (W),Notes,,x,y,,Data Changes
58,6/16/2022 16:54,Available,NA,NA,,,,NA,Pool,,12.7,Sand,0,0,0,0,0,0,0,No,82,0,0,0,,-111.6881021,34.53824923,,,
59,6/16/2022 16:57,Available,NA,NA,,,,NA,Pool,,12.7,Gravel,0,0,0,0,0,0,0,No,95,0,0,0,,-111.6880656,34.5382608,,,
60,6/16/2022 16:58,Available,NA,NA,,,,NA,Pool,,12.7,Gravel,0.1,0,0,0,0,0,0.1,No,93,0,0,0,,-111.6880649,34.53825213,,,
61,6/16/2022 16:59,Available,NA,NA,,,,NA,Pool,,12.7,Pebble,0,0,0,0,0,0,0,No,102,0,0,0,,-111.6880661,34.53824167,,,
62,6/16/2022 17:00,Available,NA,NA,,,,NA,Pool,,12.7,Gravel,0,0,0,0,0,0,0,No,105,0,0,0,,-111.6880765,34.53822518,,,
63,6/16/2022 17:01,Available,NA,NA,,,,NA,Pool,,12.7,Pebble,0,0,0,0,0,0,0,No,107,0,0,0,,-111.6880771,34.53822066,,,
64,6/16/2022 17:02,Available,NA,NA,,,,NA,Pool,,12.7,Sand,0,0,0,0.1,0,0,0.1,No,98,0,0,0,,-111.6881207,34.53823781,,,
65,6/16/2022 17:03,Available,NA,NA,,,,NA,Pool,,12.7,Pebble,0.1,0,0,0.1,0,0,0.2,No,90,0,0,0,,-111.6881152,34.53823351,,,
66,6/16/2022 17:04,Available,NA,NA,,,,NA,Pool,,12.7,Sand,0.1,0,0,0.1,0,0,0.2,No,70,0,0,0,,-111.688082,34.53821192,,,
67,6/16/2022 17:05,Available,NA,NA,,,,NA,Pool,,12.7,Cobble,0.1,0,0,0,0,0,0.1,No,52,0,0,0,,-111.6880575,34.53818099,,,
68,6/16/2022 17:06,Available,NA,NA,,,,NA,Pool,,12.7,Cobble,0.3,0,0,0,0,0,0.3,No,36,0,34.538173,111.688033,,-111.6880714,34.53817761,,,
73,6/16/2022 17:33,Available,NA,NA,,,,NA,Pool,,14.295,Bedrock,0,0,0,0,0,0,0,No,136,0,34.538172,111.687909,,-111.6880204,34.53821157,,,
74,6/16/2022 17:39,Available,NA,NA,,,,NA,Pool,,14.47,Bedrock,0,0,0,0.1,0.7,0,0.8,Yes,50,0,34.538103,111.687853,,-111.687826,34.53816578,,,
75,6/16/2022 17:42,Available,NA,NA,,,,NA,Pool,,14.4,Bedrock,0,0,0,0.2,0,0,0.2,Yes,98,0,0,0,,-111.6878769,34.53817063,,,
76,6/16/2022 17:43,Available,NA,NA,,,,NA,Pool,,14.4,Bedrock,0,0,0,0,0,0,0,Yes,140,0,0,0,,-111.6879281,34.53816352,,,
77,6/16/2022 17:44,Available,NA,NA,,,,NA,Pool,,14.4,Bedrock,0,0,0,0.6,0,0,0.6,Yes,>150,0,0,0,,-111.6879064,34.53812374,,,
78,6/16/2022 17:46,Available,NA,NA,,,,NA,Pool,,14.4,Bedrock,0,0,0,0.6,0,0,0.6,Yes,>150,0,0,0,,-111.6878845,34.5381337,,,
79,6/16/2022 17:47,Available,NA,NA,,,,NA,Pool,,14.4,Bedrock,0,0,0,0,0,0,0,No,>150,0,0,0,,-111.6878904,34.5381432,,,
80,6/16/2022 17:48,Available,NA,NA,,,,NA,Pool,,14.4,Gravel,0,0,0,0,0,0,0,No,>150,0,0,0,,-111.6878942,34.53815889,,,
81,6/16/2022 17:48,Available,NA,NA,,,,NA,Pool,,14.4,Gravel,0,0,0,0,0,0,0,No,>150,0,0,0,,-111.6878776,34.53821543,,,
82,6/16/2022 17:49,Available,NA,NA,,,,NA,Pool,,14.4,Gravel,0,0,0,0,0,0,0,NA,>150,0,0,0,,-111.6878897,34.53820115,,,
83,6/16/2022 17:50,Available,NA,NA,,,,NA,Pool,,14.4,Gravel,0,0,0,0.4,0,0,0.4,No,>150,0,0,0,,-111.6879047,34.53822724,,,
