,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
60,NA,190,Clear,November,11/19/2022 21:11,Available,5.8,Run,40,0.21,Boulder,0.4,0,0,0,0,0,0.4,No,34.538668,111.683271,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,191,Clear,November,11/19/2022 21:12,Available,6.6,Run,64,0.01,Boulder,0.3,0,0,0,0,0,0.3,No,34.538613,111.683194,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,192,Clear,November,11/19/2022 21:14,Available,3.2,Riffle,40,0.33,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.53858,111.68314,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,193,Clear,November,11/19/2022 21:15,Available,5.8,Riffle,35,0.44,Pebble,0,0,0,0,0,0,0,Yes,34.538512,111.683051,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,194,Clear,November,11/19/2022 21:17,Available,6.2,Riffle,41,0.65,Cobble,0.1,0,0,0,0,0,0.1,No,34.538461,111.683011,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,195,Clear,November,11/19/2022 21:18,Available,5.1,Run,80,0,Silt,0,0,0,0,0,0,0,Yes,34.538441,111.682952,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,196,Clear,November,11/19/2022 21:20,Available,9.2,Riffle,22,0.28,Boulder,0.4,0,0,0,0,0,0.4,No,34.538372,111.682894,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,197,Clear,November,11/19/2022 21:21,Available,20.1,Riffle,29,0.2,Cobble,0.15,0,0,0,0,0,0.15,No,34.538354,111.682809,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,198,Clear,November,11/19/2022 21:23,Available,8.3,Riffle,40,0.08,Cobble,0,0,0,0,0,0,0,No,34.538293,111.682703,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,200,Clear,November,11/19/2022 21:26,Available,8.2,Riffle,39,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.538213,111.682658,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,202,Clear,November,11/19/2022 21:29,Available,10.6,Run,45,0.1,Gravel,0.05,0,0,0,0,0,0.05,Yes,34.538202,111.682566,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,203,Clear,November,11/19/2022 21:30,Available,8.2,Run,56,0.04,Silt,0,0,0,0,0,0,0,Yes,34.538072,111.682614,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,204,Clear,November,11/19/2022 21:31,Available,10.9,Pool,46,0.07,Silt,0.1,0,0,0,0,0,0.1,Yes,34.538058,111.682472,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,157,Clear,November,11/19/2022 20:14,Available,9.5,Run,39,0.21,Pebble,0,0,0,0,0,0,0,Yes,34.538221,111.685515,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,158,Clear,November,11/19/2022 20:15,Available,9.8,Run,49,0.1,Silt,0.15,0,0,0,0,0,0.15,Yes,34.53828,111.685352,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,159,Clear,November,11/19/2022 20:17,Available,8.1,Run,46,0.09,Gravel,0,0,0,0,0,0,0,Yes,34.538289,111.685366,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,161,Clear,November,11/19/2022 20:20,Available,10.6,Riffle,15,0.39,Gravel,0,0,0,0,0,0,0,No,34.538253,111.685277,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,162,Clear,November,11/19/2022 20:21,Available,9.8,Riffle,20,0.04,Pebble,0,0,0,0,0,0,0,Yes,34.53824,111.685221,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,164,Clear,November,11/19/2022 20:24,Available,9.4,Riffle,49,0.51,Cobble,0.25,0,0,0,0,0,0.25,No,34.538203,111.685153,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,166,Clear,November,11/19/2022 20:28,Available,6.6,Riffle,32,0.04,Cobble,0,0,0,0,0,0,0,No,34.538266,111.685055,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,169,Clear,November,11/19/2022 20:35,Available,6.8,Riffle,43,0.46,Boulder,0.4,0.05,0,0,0,0,0.45,No,34.538292,111.684981,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,170,Clear,November,11/19/2022 20:36,Available,6.9,Riffle,36,0.08,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.538313,111.684934,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,171,Clear,November,11/19/2022 20:38,Available,8.5,Riffle,35,0.12,Gravel,0.35,0,0,0,0,0,0.35,Yes,34.538356,111.684851,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,172,Clear,November,11/19/2022 20:40,Available,11,Riffle,41,0.03,Cobble,0.1,0,0,0,0,0,0.1,No,34.538389,111.684744,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,173,Clear,November,11/19/2022 20:42,Available,7.6,Riffle,37,0.15,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.538411,111.684681,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,174,Clear,November,11/19/2022 20:43,Available,9.6,Riffle,43,0,Cobble,0,0,0,0,0,0,0,No,34.538479,111.684625,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,175,Clear,November,11/19/2022 20:44,Available,9.9,Riffle,20,1.26,Boulder,0.4,0.05,0,0,0,0,0.45,Yes,34.538455,111.684558,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,176,Clear,November,11/19/2022 20:46,Available,9.9,Riffle,41,0.36,Cobble,0,0,0,0,0,0,0,Yes,34.53846,111.684465,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,177,Clear,November,11/19/2022 20:48,Available,5.6,Riffle,28,0.25,Pebble,0,0,0.15,0,0,0,0.15,No,34.538507,111.684392,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,178,Clear,November,11/19/2022 20:49,Available,6,Riffle,49,0.54,Cobble,0,0.15,0,0,0,0,0.15,No,34.538594,111.684269,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,180,Clear,November,11/19/2022 20:53,Available,11.7,Pool,58,0.15,Pebble,0,0,0,0,0,0,0,No,34.538667,111.684158,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,181,Clear,November,11/19/2022 20:54,Available,10.8,Pool,126,0.03,Cobble,0,0,0,0,0,0,0,No,34.53866,111.684047,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,182,Clear,November,11/19/2022 20:56,Available,13,Pool,37,0,Cobble,0,0,0,0,0,0,0,No,34.538621,111.683964,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,183,Clear,November,11/19/2022 20:57,Available,10,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.53867,111.683899,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,184,Clear,November,11/19/2022 20:58,Available,8.9,Pool,84,0.02,Silt,0.35,0,0,0,0,0,0.35,Yes,34.538767,111.68373,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,185,Clear,November,11/19/2022 21:00,Available,6.2,Pool,72,0.15,Boulder,0,0,0,0.2,0,0,0.2,No,34.538703,111.683644,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,186,Clear,November,11/19/2022 21:04,Available,6.3,Run,59,0,Gravel,0,0,0,0,0,0,0,Yes,34.538687,111.68354,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,232,Clear,November,11/19/2022 22:28,Available,10.12,Riffle,30,0.18,Cobble,0,0,0,0,0,0,0,Yes,34.536117,111.680024,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,233,Clear,November,11/19/2022 22:31,Available,11.67,Riffle,44,0.35,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536051,111.679929,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,234,Clear,November,11/19/2022 22:33,Available,13.83,Riffle,64,0.18,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.536056,111.679695,NA,NA,NA,NA,NA,NA,NA,NA,NA
