,Tag,Species,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y
80,NA,NA,52,5/17/2022 23:23,Beaver,May,Available,NA,Riffle,12,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673773,111.669717,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,30,5/17/2022 21:52,Beaver,May,Available,NA,Riffle,12,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.674081,111.671177,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,8,5/17/2022 19:20,Beaver,May,Available,7.47,Riffle,12,0.3,Cobble,0,0,0,0.5,0,0,0.5,Yes,34.674542,111.672289,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,110,5/18/2022 0:00,Beaver,May,Available,Na,Riffle,14,0.16,Cobble,0,0.1,0,0,0,0,0.1,No,34.672958,111.666461,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
28,NA,NA,70,5/18/2022 20:02,Beaver,May,Available,Na,Riffle,14,0.13,Cobble,0.2,0,0,0,0,0,0.2,No,34.673134,111.668696,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,50,5/17/2022 23:17,Beaver,May,Available,NA,Riffle,15,0.18,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673815,111.669796,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,55,5/17/2022 23:34,Beaver,May,Available,NA,Riffle,16,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.673671,111.6696,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,109,5/18/2022 0:00,Beaver,May,Available,Na,Riffle,16,0.07,Cobble,0.3,0,0,0,0,0,0.3,No,34.672908,111.666525,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
50,NA,NA,22,5/17/2022 21:09,Beaver,May,Available,NA,Riffle,16,0.21,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.674052,111.671779,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,84,5/18/2022 21:57,Beaver,May,Available,Na,Riffle,17,0.29,Cobble,0.2,0,0,0,0,0,0,No,34.672653,111.667963,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,107,5/18/2022 0:00,Beaver,May,Available,NA,Riffle,18,0,Cobble,0,0,0,0,0,0,0,Yes,34.672816,111.666666,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
93,NA,NA,69,5/18/2022 19:51,Beaver,May,Available,18,Riffle,18,1.02,Boulder,0,1,0,0.3,0,0,1.3,Yes,34.673164,111.668775,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,33,5/17/2022 22:06,Beaver,May,Available,NA,Riffle,18,0.39,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.673972,111.670968,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,97,5/18/2022 23:24,Beaver,May,Available,Na,Riffle,18,0.23,Cobble,0.2,0,0,0.2,0.3,0,0.7,Yes,34.672518,111.667149,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,26,5/17/2022 21:25,Beaver,May,Available,NA,Riffle,18,0.55,Cobble,0.2,0,0,0,0,0,0.2,No,34.674031,111.671509,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,108,5/18/2022 0:00,Beaver,May,Available,Na,Riffle,18,0.37,Cobble,0.1,0,0,0,0,0,0,No,34.67286,111.666567,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
76,NA,NA,48,5/17/2022 23:12,Beaver,May,Available,NA,Riffle,19,0.62,Bedrock,0,0,0,0.05,0,0,0.05,Yes,34.673933,111.66992,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,61,5/18/2022 18:16,Beaver,May,Available,Na,Riffle,20,0.33,Cobble,0,0,0,0,0,0,0,No,34.673374,111.669201,NA,Removed NA from canopy,NA,NA,NA,NA,NA,NA
35,NA,NA,7,5/17/2022 19:18,Beaver,May,Available,5.39,Riffle,20,0.54,Cobble,0,0,0,0,0,0,0,Yes,34.674582,111.672285,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,32,5/17/2022 22:03,Beaver,May,Available,NA,Riffle,20,0.63,Boulder,0,0,0,0,0,0.5,0.5,Yes,34.673997,111.67103,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,64,5/18/2022 19:03,Beaver,May,Available,NA,Riffle,20,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,34673424,"111,669,078",NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,34,5/17/2022 22:11,Beaver,May,Available,NA,Riffle,22,0.18,Pebble,0,0,0,0,0,0,0,Yes,34.673938,111.670882,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,28,5/17/2022 21:43,Beaver,May,Available,NA,Riffle,24,0.48,Boulder,0,1,0,0,0,0,1,Yes,34.673988,111.6713,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,105,5/18/2022 23:57,Beaver,May,Available,Na,Riffle,24,0.17,Boulder,0.4,0,0,0,0,0,0.4,No,34.672719,11q.666787,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,57,5/17/2022 23:41,Beaver,May,Available,NA,Riffle,26,0.16,Cobble,0,0,0,0.5,0,0,0.5,Yes,34.673674,111.669391,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,5,5/17/2022 19:09,Beaver,May,Available,5.61,Riffle,26,0.25,Cobble,0,0,0,0,0,0,0,Yes,34.674613,111.672323,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,92,5/18/2022 23:05,Beaver,May,Available,Na,Riffle,26,0.3,Cobble,0,0,0,0,0,0,0,No,34.672537,111.667595,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,56,5/17/2022 23:37,Beaver,May,Available,NA,Riffle,26,0.5,Cobble,0,0,0,0.3,0,0,0.3,Yes,34.673636,111.669526,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,104,5/18/2022 23:53,Beaver,May,Available,Na,Riffle,28,0.02,Cobble,0,0,0,0.1,0,0,0.1,No,34.67269,111.666867,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,29,5/17/2022 21:48,Beaver,May,Available,NA,Riffle,30,0.01,Cobble,0,0,0,0,0,0,0,No,34.673966,111.671203,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,4,5/17/2022 19:05,Beaver,May,Available,4.16,Riffle,32,0.04,Cobble,0,0,0,0,0,0,0,Yes,34.674733,111.672328,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,3,5/17/2022 18:58,Beaver,May,Available,5.33,Riffle,40,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.674807,111.672286,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,68,5/18/2022 19:43,Beaver,May,Available,Na,Riffle,40,0.51,Cobble,0,0,0,0,0,0,0,No,34.673219,111.668876,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,24,5/17/2022 21:18,Beaver,May,Available,NA,Riffle,40,0.22,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.674057,111.671522,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,83,5/18/2022 21:51,Beaver,May,Available,Na,Riffle,56,0.35,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.672723,111.668018,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,71,5/18/2022 20:12,Beaver,May,Available,Na,Riffle,38,0.41,Cobble,0.1,0,0,0,0,0,0.1,No,34.67306,111.668659,21,Changed depth from 78 to 38 based on photo ,NA,NA,NA,NA,NA,NA
6,112,Black Bass,25,5/17/2022 21:22,Beaver,May,Occupied,NA,Run,52,0.1,Cobble,0,0,0,0,0,0,0,No,34.674009,111.67149,NA,NA,90,192,Backpack Shocker,11/3/2022,NA,NA
14,125,Black Bass,80,5/18/2022 21:30,Beaver,May,Occupied,Na,Run,64,0.01,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672813,111.668171,NA,Confirmed Occupied,103,202,Backpack Shocker,11/12/2022,NA,Riffles
2,106,Desert Sucker,18,5/17/2022 20:55,Beaver,May,Occupied,NA,Run,40,0.08,Cobble,0,0,0,0,0,0,0,No,34.674058,111.671934,NA,NA,144,234,Backpack Shocker,11/3/2022,NA,NA
21,143,Desert Sucker,21,5/17/2022 21:07,Beaver,May,Occupied,NA,Run,42,0.21,Pebble,0,0,0,0,0,0,0,Yes,34.674034,111.671648,NA,NA,76,189,Hoop Net,11/27/2022,Top of Reach,NA
23,147,Desert Sucker,102,5/18/2022 23:47,Beaver,May,Occupied,Na,Run,43,0.28,Boulder,0,0,0,0,0,0,0,Yes,34.672629,111.666916,NA,NA,88,198,Backpack Shocker,11/16/2022,NA,riffle
24,148,Desert Sucker,103,5/18/2022 23:49,Beaver,May,Occupied,Na,Run,44,0.15,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672614,111.666949,NA,NA,77,183,Backpack Shocker,11/16/2022,NA,pool
7,113,Desert Sucker,45,5/17/2022 23:00,Beaver,May,Occupied,NA,Run,118,0.14,Bedrock,0,0,0,0,0,0.6,0.6,Yes,34.673979,111.670226,NA,NA,101,192,Backpack Shocker,11/3/2022,NA,NA
77,NA,NA,93,5/18/2022 23:08,Beaver,May,Available,Na,Run,32,0.09,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672509,11.667483,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,20,5/17/2022 21:02,Beaver,May,Available,NA,Riffle,32,0.21,Cobble,0.2,0,0,0.05,0,0,0.25,Yes,34.674079,111.671795,NA,Run to Riffle,NA,NA,NA,NA,NA,NA
72,NA,NA,44,5/17/2022 22:54,Beaver,May,Available,NA,Run,33,0.01,Bedrock,0,0,0,0,0,0,0,Yes,34.673948,111.670225,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,72,5/18/2022 20:24,Beaver,May,Available,Na,Run,34,0.12,Cobble,0,0,0,0,0,0,0,No,34.672963,111.668585,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,90,5/18/2022 22:56,Beaver,May,Available,Na,Run,46,0.39,Bedrock,0,0,0,0,0,0,0,Yes,34672614,111.667679,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,27,5/17/2022 21:30,Beaver,May,Available,NA,Run,46,0.11,Cobble,0.2,0,0,0,0,0,0.2,No,34.67402,111.671419,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,46,5/17/2022 23:06,Beaver,May,Available,NA,Run,55,0.06,Cobble,0,0,0,0,0,0.6,0.6,No,34.673965,111.67013,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,101,5/18/2022 23:45,Beaver,May,Available,Na,Run,56,0.23,Cobble,0,0,0,0,0,0,0,Yes,34.672621,111.666924,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,81,5/18/2022 21:42,Beaver,May,Available,Na,Run,62,0.17,Boulder,0,0,0,0,0,0,0,Yes,34.672798,111.668119,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,94,5/18/2022 23:11,Beaver,May,Available,Na,Run,64,0.1,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672466,111.667367,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,47,5/17/2022 23:10,Beaver,May,Available,NA,Run,75,0.05,Bedrock,0,0,0,0,0,0,0,No,34.673943,111.670014,NA,NA,NA,NA,NA,NA,NA,NA
