,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
105,NA,82,Wet Beaver,3/14/2022 0:00,Available,15.92,Pool,NA,28,0.039,Cobble,Yes,-111.670907,34.674045,NA,NA,-111.6709047,34.6740831,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,46,Wet Beaver,3/14/2022 0:00,Available,7.12,Pool,NA,>150,NA,NA,No,-111.672348,34.674835,NA,NA,-111.672358,34.6748183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,47,Wet Beaver,3/14/2022 0:00,Available,NA,Riffle,NA,>150,NA,NA,Yes,-111.672318,34.674768,NA,NA,-111.6722833,34.6747976,Replaced all Riffle_ with Riffle ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,48,Wet Beaver,3/14/2022 0:00,Available,5.03,Riffle,NA,48,0.27,Boulder,Yes,-111.672283,34.674743,NA,NA,-111.6722945,34.6748372,Replaced all Boulder_ with Boulder,0.2,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,89,Wet Beaver,3/14/2022 0:00,Available,11.7,Pool,NA,>150,NA,Sand,No,-111.670435,34.674018,NA,NA,-111.6703883,34.6740184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,50,Wet Beaver,3/14/2022 0:00,Available,5.61,Riffle,NA,30,0.79,Cobble,Yes,-111.672287,34.674627,NA,NA,-111.6722817,34.6747078,NA,0.7,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,91,Wet Beaver,3/14/2022 0:00,Available,6.17,Riffle,NA,117,0.81,Bedrock,Yes,-111.670187,34.673942,NA,NA,-111.6702099,34.6739709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,92,Wet Beaver,3/14/2022 0:00,Available,6.78,Riffle,NA,20,0.43,Bedrock,No,-111.670128,34.673937,NA,NA,-111.6701206,34.6739707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,53,Wet Beaver,3/14/2022 0:00,Available,9.43,Pool,NA,32,0.34,Cobble,Yes,-111.672382,34.674533,NA,NA,-111.6723546,34.6745451,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,94,Wet Beaver,3/14/2022 0:00,Available,6.3,Riffle,NA,44,1.22,Bedrock,No,-111.669925,34.673932,NA,NA,-111.670003,34.6738338,NA,NA,0.05,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
